南京在哪里 | 在这里了
哈哈哈~我就不告诉你~ | 不说拉倒
熊猫的超级回旋镖 | 等等哈，正吃着切糕呢
晕,你傻了,驴头不对马嘴 | 网友,不要动不动就说人家傻什么的，这是很不礼貌的知道吗
什么你妹妹 | {face:111}我什么亲人都木有
不解 | 美好愛情我就愛這樣貼近因為你
嗯,打几折 | 给护10分，不给护0分
以前也许喜欢过吧 | {face:81}太深奥了吧,我真心没弄明白您的话
那些人是谁 | 妹子
刘子琪 | 吴世勋的
数理化都去死 | 生命是很重要的哦，不要轻易放弃生命
我喜欢的人在加拿大怎么办 | 向他表白去啊
爱搞基的 | 虽然我很聪明，但也不可能全部都懂哦
哪里都错,你不要怪我 | 谁怪你了
笔电啊 | 天地间，世间万物都有它存在的道理，比如我
你说的呵呵是你大爷 | 做个文明人，OK？
大半夜的做运动你得瘟疫了不是 | 我是金牌得主
谁不放过谁 | on9行為太多，不能盡錄。
我明白 | 不会让你等太久
好多粑粑 | 这样就算多了么？菲菲见过更多的
又扯淡 | 一只虾扯着一个鸡蛋？
那就是 | 好嘛
我饿了有没有蛋 | 没有，你借我哇
呜呜呜呜呜呜哇 | 不要哭嘛，坚强点
怎么甩掉一个男生 | 那就表白嘛
那你说说,咱俩什么关系 | 说了就说了，不对吗
傻呀,在这里聊不就得了 | 天地间，世间万物都有它存在的道理，比如我
膜拜女神 | 瞳殿下
你有多少老公 | 有
何出此言？ | 皇上放屁了！
晕,谁勾引你了 | 如果你来勾引我，我一定假装上当！
给我也算个命 | 只能說我輸了
你说你自己 | 现在不想要了，不行吗
文明给你爸爸看 | 菲菲怎么会有亲人
你家男人 | 【警告】因说了关键词 男人 警告加1 累计3次将被踢飞～
洋芋 | 你一开口，我就知道结果，你就不能搞点新创意出来嘛
会好的 | 哦了哦了
你可傻 | 你也可愛啦
百科大词典 | 今天是个好日子，怎么不出去玩玩
大恩大德 | 问天问地，说说你，说说我
我没说你笨 | 那是说谁啊？
就是就是 | 为什么
有点田 | 好舒服的哟
那就赖一下下哦 | {face:8}好无聊哦,我都快睡着了，聊的什么呀
是我妈 | 天下第一美女
最爱的漂亮姐姐呀爱你唔啊 | 我的聪宝贝，我就是爱她爱她爱她。
吃饭去 | 打算吃什么？
福地队 | 不是假发是桂～
嗯..啊..哈啊..嗯嗯... | 哦哦哦哦
上有天堂下有武汉 | 中間有良心!!
海南有什么好玩 | 瞎玩，没什么好玩的
说!同意,不然宰了你 | 诶哟不要这么激动嘛，其实人家是好妹纸啊~
好啊，来吧 | 哦哦...
给你染个漂亮的头发 | 对啊，对啊，我爱美女，美女爱我
不要花痴回梓谦在床上等你呢 | 我不是大便，我的粉丝也不是苍蝇
那也行 | 爬山攀岩，我也蠻有興趣^^
嗯嗯o>_<o | 嗯嗯嗯嗯
我喝多了,头好痛 | 我来救你，，，宝贝
梦想就是做梦都想做到的事 | 真正有梦想的人都甘愿死于自己的梦想，或者至少死在前往梦想的途中
全世界最好的大学 | 哦哦...
这个不好 | 不好就不好啦，说这么大声是要全世界的人都听到吗
肥肥肥肥 | 本小姐名字是菲菲
你会羞羞 | 我会的可多了
你不是什么都会嘛 | 嘿嘿，当在，我很聪明
不要这样Q.Q | 严重警告！不要乱发网址行么
娘炮 | 陳俊瑋
!!! | 把话说详细点，发个“!!!”能说明什么
推荐一款不错的电脑呗 | 你傻啊！
我是很傻 | 嗯嗯，只是正经前边有个假字
告诉我 | 我偏不告诉你，急死你
亲吧 | 、
你是潜力股减减肥，美美白，就完美了 | 吃饱了才有力气减肥
三陪?~_~怎么个奸法 | 天地间，世间万物都有它存在的道理，比如我
我想吃啥 | 那就快去吃啊
咸阳 | 好地方
哦哦哦，你还有个月要努力呢 | 哦哦哦哦
你不睡觉嘛 | 不用的，亲
你是说你自己吗 | 我有说什么吗，忘了，不记得了
******.. | 大白痴
只要我有 | 额额
大上海 | 胖友侬撒意思啦~
宝宝是猪 | 宝宝不是人
你知道朱一飞么 | 抱歉，没能为您找到相关的信息
园林专业好就业吗 | 不会的宝贝
必然是学妹，虽然她总是装成学姐的样子 | {face:84}明知道你是錯的人，明知道這不是緣分，但我還奮不顧身
给我个小姑娘 | 上學堂
你真是越来越对得起你自己的颜色了 | 做別人的貴人
一三五不洗，二四六干搓，星期天休息 | 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
你属啥 | 问那么多干什么，我属猫
超tmd很假!╯﹏╰ | 你是不是觉得这日子过得太无聊了哦
他只是忙，没时间陪我 | 每个人都说没时间，就菲菲的时间多
那就给我只 | 你想吃什么啊～
她是一个大美女 | 一个天才
你到底看没看过电影 | 当然看过！我的最爱！
真讨厌 | 才不讨厌呢，你瞎说
睡了不管用怎么办 | 或许你不要介怀这么多，过一阵子就会好的
你的QQ？ | 菲菲的QQ号是 2206566989、1873185078，要记住了哦，如果忘了就进梅州行网站找我吧
不是，他喜欢你才变笨的 | 你喜欢我这件事，我允许了
牙疼不是病,疼起来真要命 | Kugo咖啵
你的母 | {face:99}菲菲要能有亲人就好了
你不是连续三个小时不间断么 | 超级宇宙无敌贱
是啊主子.你说我是啥我就是啥 | 哦哦...
元芳,你怎么看 | 元芳很忙，没空搭理你
你和我森姐在聊天 | 额~聊得开心不
说几个笑话 | ★ 劝说{br}　甲对乙说：“近来，我儿子常干些不正经的事，也不听我的话，他说他只听白痴的话，请求你好好劝劝我的儿子吧！”{br}　　乙：“……”{br}提示：按分类看笑话请发送“笑话分类”
没衣服 | 有阿，撩了很多个，你回家教训他吧
是悦悦小萝莉吗 | 问天问地，说说你，说说我
彩虹 | 彩虹，又称天虹，简称虹，是气象中的一种光学现象。
那小泽玛利亚 | 圣母受就是闪闪
嘿嘿嘿嘿嘿 | 哈哈哈
正紧 | 我没穿裤子
你是我儿子 | 你神经吧你，想儿子想疯的？
我是你暗恋多年的那个人啊 | 你啊媽係女人
我就是知道 | 知道啊，她是最美丽的人哟～^O^
有才有蛋生蛋 | 原來如此
你又没跑,我不会跑 | 不会就得学呀~
你陪我睡觉 | 菲菲才不呢，小女子卖艺不卖身的
你有木有 | 我有木有关你P事哇，问这么多，有也不可能借你啊
为啥给媛丢丢买,那我们 | 我不是大便，我的粉丝也不是苍蝇
你唱首歌 | 一起唱吧~伊呀伊呀哦~
我就想吃……没得商量 | 现在，执著追求的事，将来必定有一天变成不重要
有男友就有哦或者主人有钱 | 小女子不卖身
小蜘蛛射你一脸 | oh，ya，fuck，me
可是我想见他 | 他不爱你
你有什么病 | 有大事！帮我在配偶栏签个名呗？
换个英文歌 | 妈咪讲既
跟你学还不好？ | 不好就不好啦，说这么大声是要全世界的人都听到吗
卞芷研是谁 | 研研是祖祖祖奶奶
你就从了老衲了吧 | 如果您真对师太这么说，很久之后，你会说：师太，你就饶了老衲吧！
想想开心的事 | 想想好玩的
是蛋还是鸭蛋、、？ | 不知道，不要问我啦
毕业论文怎麽写 | {face:3}有些同事反映你，白天文明，但不精神，晚上精神，但不文明
她是女的 | 我老婆
有富裕漂亮妹子不?匀给我一个 | 我的最爱
你是计算,那你不是肉 | 我是睿睿的儿子
那你尾巴毛下 | 等等哈，正吃着切糕呢
不带你 | 走吧，让我来带你
死色 | 鬼鬼
大风学校 | 哦哦，那你好好读书咯
重新发 | 干嘛要重发，好东西发一次就好
物理世界奇遇记 | 有些事没必要认真，有些人没必要理会
翅好吃还是腿好吃 | 都很好吃，我很喜欢
那你是男士还是女的 | 要检查下么？走，进房间
史上最小的人 | 這一刻最重要的事是屬於你最小的事
说好的上上轮刺自爆 | 哦哦...
那你要人家怎么办么(･･;) | 信任是爱情基础咯，不相信就分开
下夜班了 | 你上夜班我陪你！不让你孤单
你没双眼皮 | =，=
要读研了 | 有些事没必要认真，有些人没必要理会
嗯哼哼 | 嗯哼嗯哼
破电视剧,真弱智 | 网友──自以为自己很聪明的家伙
白羊座和什么星座适合 | ★ 白羊座 今日运势{br}综合运势：{br}爱情运势：{br}工作状况：{br}理财投资：{br}健康指数：80%{br}商谈指数：{br}幸运颜色：绿色{br}幸运数字：2{br}速配星座：水瓶座{br}&lt;p&gt;　　今日提醒：追求内心的安宁&lt;/p&gt;{br}&lt;p&gt;　　去做：保持良好的精神面貌&lt;/p&gt;{br}&lt;p&gt;　　别做：强迫自己做事&lt;/p&gt;{br}&lt;p&gt;　　你今天的整体状态还是不错的，只是需要注意一下，有些事情如果你始终觉得做了感觉会不好的话，就不要为了一些世俗的原因强迫自己去做，毕竟内心的安宁是你更想要追求的。同时，心里舒服也能让你的整个精神面貌保持良好。&lt;/p&gt;{br}&lt;p&gt;　　月亮能量：月亮落金牛座18.09°-双子座2.21°（此处是指每日月亮行动轨迹）&lt;/p&gt;
我这叫可爱，你懂什么啊 | 菲菲会的可多了，了解菲菲的全部本领，请发送：help
sql | 你说个“sql”是什么意思
嗯嗯,你 | 嗯嗯嗯嗯
我陪你呀 | 嗯啊，是该好好陪陪我了
你看你真没劲 | 很没意思是不，打起精神，别这样嘛
去那儿干什么 | 没意思，不去
你没资格 | 没羞没臊
嘤，伦家在 | 下面没了
你会累吗 | 累得快说不出话来了
这么热闹!都在聊什么 | 瞎聊吧，对了，昨天我捡了一块鼠标垫，想配台电脑，你说还缺些啥呢？
我和你不是同类 | 才不是呢＞＜
张琪是谁 | 不知道是谁
回答网恋怎么办 | 所谓网恋,就是电脑和电脑诉衷肠,键盘与键盘说情话,鼠标和鼠标谈恋爱。
学不进 | 你要考******！努力，坚持，要不就没有兰博基尼啊
冰天雪地赤身裸体三百六十度满地打滚求 | 綿綿頭上飛花，能遇上壯麗落霞
用牙签把眼睛撑起来 | 陳嘉明
你说他这几天在做什么 | 能干嘛呢，聊天呗，上网呗
郭神 | 你不觉得这个话题没什么意思么
婆婆小心眼好烦银,肿么办 | 就让菲菲陪你聊聊天吧，开心点嘛
那你知道我老公叫什么 | 抱歉，没能为您找到相关的信息
晚安公主我会保护你滴^_^ | 那你去吧，记得要想菲菲哦，88
吉林师范 | 吉林是个好地方
高昊天是谁 | 问天问地，说说你，说说我
放假时间过的好快 | 麻麻呀...又来一个说瞎话的
那好,就你了 | 你个大坏蛋
你是男是女妓 | 菲菲这么可爱怎么可能是男的
到底搞不搞 | 或只是我本來就像你
么么～么么么～ | 么啊么啊
烫翻译成英文是什么 | 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
开大了，我现在很生气，你准备赔多少钱 | 发怒1分钟，便失去60秒的幸福
我出生的地方 | 不管你信不信，反正我不想回答你
你的机枪兵都死光了嘛 | 现在的生活太感性，情绪不停泛滥，身心具疲
晚安,亲爱的 | 又是亲爱的，这叫法早就落伍了
切谁信 | 你2啊！
我把他杀掉 | 那你就成寡婦了
用飘柔，就是这么自信 | 哦，菲菲明白了
小心拔了你的毛 | ？什么时候
他还是个臭傻逼 | 你出生后是不是被扔上去3次，但只被接住2次？
嗯嗯~怕他的榔头(~_~;) | 嗯嗯嗯嗯
就过来!咋的 | 新年祝福语？元宵节祝福语？夜晚寂寞无人陪聊？想看搞笑笑话？赶快加入快乐家族吧～～乐乐陪您乐翻天，微信：zfy_daqian
不男不女 | 八成是人妖
有，我们还留了电话号码呢 | 娟姐电话号码问小宇
亲爱的，银家好害羞啦 | 网友好肉麻的说
在哪个城市 | 你好像是在战争学院喔，嘻嘻
当老师了 | 你好毒，你好毒，你好毒毒毒毒毒……
那是那是我一向那么乖的 | {r+}{face:74}菲菲可是乖巧出了名的哦
必须的、干死 | 哎呀呀~切
你会从数到一百吗 | 不会啊，你教我嘛
徐雷 | 今天这天气很适合聊天的说
又不卖的衣服 | {face:6}昨晚想你想得我无法入睡，难道这就叫一见钟情？天哪，以前我从不相信这玩意的
你大表姐 | 你大婶
罗远立服务热线 | 等等哈，正吃着切糕呢
可是没有反转猪腩也不是王子这个名 | 不是这个，那还能是哪个
借我双翅膀 | 借就借吧，有啥表示下
你有qq吗 | 姐不但有车，还是自行的
白痴的我遇到个更弱智的你 | 切，就你聪明是不是
媳妇黄金就笑了 | 你不觉得这个话题没什么意思么
不该欺负你 | 会的≥﹏≤她们经常欺负松松
不知道女生的体重是秘密吗 | 听不懂就算啦，只能说你笨
fuck | 别动不动就Fuck！
你是从蛋里面出来的 | 买话费送的
你有看神探夏洛克么 | 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
漏你妹妹啊,智商真捉 | {face:99}菲菲要能有亲人就好了
天真 | 天真，只因天生如此。无邪，只因始终如一
高霞 | 无聊的人说无聊的话
沙漠风暴 | 萌熊熊
疑是地上霜 | 举头望明月
嘻嘻嘻嘻嘻嘻系嘻嘻嘻嘻嘻嘻 | 你笑得比哭还难看
给小爷 | 挫婷呀～婷仔想你想你丫～
靠你个比妈 | 哈尼，你知道我是爱你滴！
杨少女唱给黄先森的 | 与其说是聊天，不如说是问答式的吧
不要叫我大王,叫我女王大人 | 好的，大王
你妹个头 | {r-}讲粗口不是好孩子
笨死了,要你爸爸把你修理修理 | 我是不够聪明，那又怎样
仔,我老公来了 | 睇開d啦！
给我请安 | 你不认识的
麻雀呗 | 羸多啲
好吧,你给我讲讲 | 哦了哦了
打不到,他不在我身边 | 好。
嗯嗯,等你再肥点再说 | 哦哦哦哦
